"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2590","should verify category filter is visible","chromium","Thu Dec 04 16:56:13 UTC 2025","passed","Thu Dec 04 16:56:15 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","12474","should click category with subcategory and navigate","chromium","Thu Dec 04 16:55:59 UTC 2025","passed","Thu Dec 04 16:56:12 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","9284","should expand and collapse categories","chromium","Thu Dec 04 16:55:59 UTC 2025","passed","Thu Dec 04 16:56:08 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","4843","should verify home page title","chromium","Thu Dec 04 16:55:47 UTC 2025","passed","Thu Dec 04 16:55:52 UTC 2025","Automation Exercise Tests","automation-exercise.spec.ts","",""
"","5693","should extract and display all categories with subcategories","chromium","Thu Dec 04 16:55:53 UTC 2025","passed","Thu Dec 04 16:55:58 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","5555","should click category without subcategory","chromium","Thu Dec 04 16:55:55 UTC 2025","passed","Thu Dec 04 16:56:00 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","6017","should get subcategories for specific category","chromium","Thu Dec 04 16:56:10 UTC 2025","passed","Thu Dec 04 16:56:16 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","4770","should verify user is logged in on home page","chromium","Thu Dec 04 16:55:47 UTC 2025","passed","Thu Dec 04 16:55:52 UTC 2025","Automation Exercise Tests","automation-exercise.spec.ts","",""
"","2023","should verify category section is visible","chromium","Thu Dec 04 16:55:52 UTC 2025","passed","Thu Dec 04 16:55:55 UTC 2025","Automation Exercise Tests","automation-exercise.spec.ts","",""
"","12437","should navigate through multiple subcategories","chromium","Thu Dec 04 16:56:15 UTC 2025","passed","Thu Dec 04 16:56:28 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
